Network,IP Address,MAC Address,Hostname
192.168.0.0/24,192.168.0.51,74:56:3c:24:fa:d2,DESKTOP-CMF0GQ8.dk-lab.local
192.168.0.0/24,192.168.0.54,00:08:9b:f0:7c:a3,K-NAS01
192.168.0.0/24,192.168.0.254,7c:5a:1c:8c:9d:52,Unknown
192.168.0.0/24,192.168.0.243,00:08:9b:f0:7c:a2,K-NAS01
192.168.0.0/24,192.168.0.240,c8:4f:86:22:a8:44,Unknown
192.168.33.0/24,192.168.33.10,N/A,Unknown
192.168.33.0/24,192.168.33.243,N/A,K-NAS01
192.168.33.0/24,192.168.33.254,N/A,Unknown
192.168.66.0/24,192.168.66.14,N/A,Unknown
192.168.66.0/24,192.168.66.11,N/A,Unknown
192.168.66.0/24,192.168.66.12,N/A,Unknown
192.168.66.0/24,192.168.66.10,N/A,Unknown
192.168.66.0/24,192.168.66.40,N/A,Unknown
192.168.66.0/24,192.168.66.243,N/A,K-NAS01
192.168.66.0/24,192.168.66.254,N/A,Unknown
192.168.22.0/24,192.168.22.10,N/A,Unknown
192.168.22.0/24,192.168.22.243,N/A,K-NAS01
192.168.22.0/24,192.168.22.242,N/A,Unknown
192.168.22.0/24,192.168.22.254,N/A,Unknown
192.168.99.0/24,192.168.99.30,N/A,Unknown
192.168.99.0/24,192.168.99.254,N/A,Unknown

#NEW DETECTED DEVICES#
No new devices detected.
